,STORE_KEY,STORE_NUMBER,STORE_NAME,STORE_TYPE_NAME,OPEN_DATE,CLOSE_DATE,CITY_NAME,STATE_CODE,STATE_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,STORE_STATUS,REGION_ID,REGION_NAME,PRIOR_STORE_NUMBER,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,GLOBAL_REGION_STORE_TYPE_NAME,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE
124,890,67,TX67,Franchise,2002-08-20,2005-01-23,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Inactive,1.0,Southwest,0.0,2002-08-20,Closed,DomesticFranchise,HOUSTON,,,2002-08-20,Original,2002-08-20
125,893,70,MD70,Franchise,2002-08-23,2005-09-30,ATLANTA,MD,Maryland,Eastern,524.0,ATLANTA,Inactive,3.0,North,0.0,2002-08-23,Closed,DomesticFranchise,ATLANTA,,,2002-08-23,Original,2002-08-23
126,897,74,TX74,Franchise,2002-09-04,2015-12-25,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2002-09-04,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2002-09-04,Original,2002-09-04
127,919,96,IL96,Franchise,2003-02-06,2005-06-04,URBANA,IL,Illinois,Central,648.0,CHAMPAIGN&SPRNGFLD-DECATUR,Inactive,3.0,North,0.0,2003-02-06,Closed,DomesticFranchise,CHAMPAIGN&SPRNGFLD-DECATUR,,,2003-02-06,Original,2003-02-06
128,922,99,PA99,Franchise,2003-02-20,2007-02-04,SOUTH EUCLID,PA,Pennsylvania,Central,510.0,CLEVELAND-AKRON (CANTON),Inactive,3.0,North,0.0,2003-02-20,Closed,DomesticFranchise,CLEVELAND-AKRON (CANTON),,,2003-02-20,Original,2003-02-20
129,929,106,MO106,Franchise,2003-04-30,2007-01-03,GRANDVIEW,MO,Missouri,Central,616.0,KANSAS CITY,Inactive,3.0,North,0.0,2003-04-30,Closed,DomesticFranchise,KANSAS CITY,,,2003-04-30,Original,2003-04-30
130,933,110,NC110,Franchise,2003-06-18,2009-03-20,FAYETTEVILLE,NC,North Carolina,Eastern,560.0,RALEIGH-DURHAM (FAYETVLLE),Inactive,2.0,Southeast,0.0,2003-06-18,Closed,DomesticFranchise,RALEIGH-DURHAM (FAYETVLLE),,,2003-06-18,Original,2003-06-18
131,934,111,TX111,Franchise,2003-06-24,2005-12-02,EDMOND,TX,Texas,Central,650.0,OKLAHOMA CITY,Inactive,1.0,Southwest,0.0,2003-06-24,Closed,DomesticFranchise,OKLAHOMA CITY,,,2003-06-24,Original,2003-06-24
132,935,112,TN112,Franchise,2003-07-11,2010-04-24,NASHVILLE,TN,Tennessee,Central,659.0,NASHVILLE,Inactive,2.0,Southeast,0.0,2003-07-11,Closed,DomesticFranchise,NASHVILLE,,,2003-07-11,Original,2003-07-11
133,936,113,KS113,Franchise,2003-07-23,2004-10-23,OLATHE,KS,Kansas,Central,616.0,KANSAS CITY,Inactive,3.0,North,0.0,2003-07-23,Closed,DomesticFranchise,KANSAS CITY,,,2003-07-23,Original,2003-07-23
134,938,115,NE115,Franchise,2003-08-18,2006-06-17,OMAHA,NE,Nebraska,Central,652.0,OMAHA,Inactive,3.0,North,0.0,2003-08-18,Closed,DomesticFranchise,OMAHA,,,2003-08-18,Original,2003-08-18
135,944,121,NC121,Franchise,2003-09-09,2006-12-02,ASHEVILLE,NC,North Carolina,Eastern,567.0,GREENVLL-SPART-ASHEVLL-AND,Inactive,2.0,Southeast,0.0,2003-09-09,Closed,DomesticFranchise,GREENVLL-SPART-ASHEVLL-AND,,,2003-09-09,Original,2003-09-09
136,945,122,VA122,Franchise,2003-09-09,2006-11-30,RICHMOND,VA,Virginia,Eastern,556.0,RICHMOND-PETERSBURG,Inactive,3.0,North,0.0,2003-09-09,Closed,DomesticFranchise,RICHMOND-PETERSBURG,,,2003-09-09,Original,2003-09-09
137,948,125,TX125,Franchise,2003-09-25,2006-11-11,FORT WORTH,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,0.0,2003-09-25,Transfer,DomesticFranchise,DALLAS-FT. WORTH,,,2003-09-25,Original,2003-09-25
138,949,126,FL126,Franchise,2003-10-03,2006-04-27,TAMPA,FL,Florida,Eastern,539.0,TAMPA-ST. PETE (SARASOTA),Inactive,2.0,Southeast,0.0,2003-10-03,Closed,DomesticFranchise,TAMPA-ST. PETE (SARASOTA),,,2003-10-03,Original,2003-10-03
139,953,130,LA130,Franchise,2003-10-18,2005-06-29,HARVEY,LA,Louisiana,Central,622.0,NEW ORLEANS,Inactive,2.0,Southeast,0.0,2003-10-18,Closed,DomesticFranchise,NEW ORLEANS,,,2003-10-18,Original,2003-10-18
140,954,131,NC131,Franchise,2003-10-20,2009-07-25,CHARLOTTE,NC,North Carolina,Eastern,517.0,CHARLOTTE,Inactive,2.0,Southeast,0.0,2003-10-20,Closed,DomesticFranchise,CHARLOTTE,,,2003-10-20,Original,2003-10-20
141,959,136,NC136,Franchise,2003-11-10,2006-09-04,CHARLOTTE,NC,North Carolina,Eastern,517.0,CHARLOTTE,Inactive,2.0,Southeast,0.0,2003-11-10,Closed,DomesticFranchise,CHARLOTTE,,,2003-11-10,Original,2003-11-10
142,965,142,TX142,Franchise,2003-12-19,2007-03-19,ALBUQUERQUE,TX,Texas,Mountain,790.0,ALBUQUERQUE-SANTA FE,Inactive,1.0,Southwest,0.0,2003-12-19,Closed,DomesticFranchise,ALBUQUERQUE-SANTA FE,,,2003-12-19,Original,2003-12-19
143,898,75,VA75,Franchise,2002-09-13,2021-09-23,ALEXANDRIA,VA,Virginia,Eastern,511.0,"WASHINGTON, DC (HAGRSTWN)",Inactive,2.0,Southeast,0.0,2002-09-13,Closed,DomesticFranchise,"WASHINGTON, DC (HAGRSTWN)",,,2002-09-13,Original,2002-09-13
144,848,25,MO25,Franchise,2001-02-17,2005-02-28,OVERLAND,MO,Missouri,Central,619.0,"SPRINGFIELD, MO",Inactive,3.0,North,0.0,2001-02-17,Closed,DomesticFranchise,"SPRINGFIELD, MO",,,2001-02-17,Original,2001-02-17
145,868,45,MO45,Franchise,2002-01-19,2005-03-07,SPRINGFIELD,MO,Missouri,Central,619.0,"SPRINGFIELD, MO",Inactive,3.0,North,0.0,2002-01-19,Closed,DomesticFranchise,"SPRINGFIELD, MO",,,2002-01-19,Original,2002-01-19
146,964,141,SC141,Franchise,2003-12-18,2013-10-15,NORTH CHARLESTON,SC,South Carolina,Eastern,519.0,"CHARLESTON, SC",Inactive,2.0,Southeast,0.0,2003-12-18,Closed,DomesticFranchise,"CHARLESTON, SC",,,2003-12-18,Original,2003-12-18
147,6,1696,TX1696,Franchise,2019-12-28,1999-12-31,AMARILLO,TX,Texas,Central,634.0,AMARILLO,Active,1.0,Southwest,0.0,2019-12-28,Operational,DomesticFranchise,AMARILLO,2020-02-12,2020-02-12,2020-09-27,Original,2022-07-20
148,11,1701,CA1701,Franchise,2020-03-06,1999-12-31,SANTA MONICA,CA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,0.0,2020-03-06,Operational,DomesticFranchise,LOS ANGELES,2020-03-24,2020-03-25,2020-09-27,Original,2022-07-20
149,828,5,TX5,Franchise,1998-08-22,1999-12-31,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1998-08-22,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
150,834,11,TX11,Franchise,1999-07-10,1999-12-31,KILLEEN,TX,Texas,Central,625.0,WACO-TEMPLE-BRYAN,Active,1.0,Southwest,0.0,1999-07-10,Operational,DomesticFranchise,WACO-TEMPLE-BRYAN,2019-10-16,2019-10-16,2020-09-27,Original,2022-07-20
151,835,12,TX12,Franchise,1999-10-23,1999-12-31,IRVING,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,1999-10-23,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
152,839,16,LA16,Franchise,2000-04-29,1999-12-31,WEST MONROE,LA,Louisiana,Central,628.0,MONROE-EL DORADO,Active,2.0,Southeast,0.0,2000-04-29,Operational,DomesticFranchise,MONROE-EL DORADO,2019-12-11,2019-12-11,2020-09-27,Original,2022-07-20
153,842,19,TX19,Franchise,2000-08-26,1999-12-31,GRAND PRAIRIE,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2000-08-26,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
154,847,24,OK24,Franchise,2001-03-08,1999-12-31,OKLAHOMA CITY,OK,Oklahoma,Central,650.0,OKLAHOMA CITY,Active,1.0,Southwest,0.0,2001-03-08,Operational,DomesticFranchise,OKLAHOMA CITY,2019-11-13,2019-11-13,2020-09-27,Original,2001-03-08
155,850,27,TX27,Franchise,2001-06-11,1999-12-31,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2001-06-11,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
156,851,28,TX28,Franchise,2001-05-18,1999-12-31,FORT WORTH,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2001-05-18,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2001-05-18
157,853,30,TX30,Franchise,2001-07-18,1999-12-31,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2001-07-18,Operational,DomesticFranchise,HOUSTON,2018-11-28,2018-11-28,2020-09-27,Original,2022-07-20
158,854,31,OK31,Franchise,2001-07-18,1999-12-31,OKLAHOMA CITY,OK,Oklahoma,Central,650.0,OKLAHOMA CITY,Active,1.0,Southwest,0.0,2001-07-18,Operational,DomesticFranchise,OKLAHOMA CITY,2019-11-13,2019-11-13,2020-09-27,Original,2001-07-18
159,855,32,TX32,Franchise,2001-08-17,1999-12-31,LEWISVILLE,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2001-08-17,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
160,857,34,TX34,Franchise,2001-10-18,1999-12-31,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2001-10-18,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
161,858,35,TX35,Franchise,2001-10-25,1999-12-31,COLLEGE STATION,TX,Texas,Central,625.0,WACO-TEMPLE-BRYAN,Active,1.0,Southwest,0.0,2001-10-25,Operational,DomesticFranchise,WACO-TEMPLE-BRYAN,2019-10-16,2019-10-16,2020-09-28,Original,2022-07-20
162,859,36,CO36,Franchise,2001-11-03,1999-12-31,LAKEWOOD,CO,Colorado,Mountain,751.0,DENVER,Active,4.0,West,0.0,2001-11-03,Operational,DomesticFranchise,DENVER,2018-09-12,2018-09-12,2020-09-27,Original,2022-07-20
163,877,54,TX54,Franchise,2002-05-04,1999-12-31,PASADENA,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2002-05-04,Operational,DomesticFranchise,HOUSTON,2018-11-28,2018-11-28,2020-09-27,Original,2022-07-20
164,878,55,NM55,Franchise,2002-05-04,1999-12-31,LAS CRUCES,NM,New Mexico,Mountain,765.0,EL PASO (LAS CRUCES),Active,1.0,Southwest,0.0,2002-05-04,Operational,DomesticFranchise,EL PASO (LAS CRUCES),2019-11-13,2019-11-13,2020-09-27,Original,2022-07-20
165,879,56,TX56,Franchise,2002-05-11,1999-12-31,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2002-05-11,Operational,DomesticFranchise,HOUSTON,2018-11-28,2018-11-28,2020-09-27,Original,2022-07-20
166,883,60,TX60,Franchise,2002-06-22,1999-12-31,HOUSTON,TX,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,0.0,2002-06-22,Operational,DomesticFranchise,HOUSTON,2018-11-28,2016-01-03,2020-09-27,Original,2022-07-20
167,884,61,TX61,Franchise,2002-06-29,1999-12-31,CEDAR HILL,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2002-06-29,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
168,887,64,OK64,Franchise,2002-07-25,1999-12-31,TULSA,OK,Oklahoma,Central,671.0,TULSA,Active,1.0,Southwest,0.0,2002-07-25,Operational,DomesticFranchise,TULSA,2019-11-13,2019-11-13,2020-09-27,Original,2022-07-20
169,26,1717,TX1717,Franchise,2020-07-08,1999-12-31,COLLEGE STATION,TX,Texas,Central,625.0,WACO-TEMPLE-BRYAN,Active,1.0,Southwest,0.0,2020-07-08,Operational,DomesticFranchise,WACO-TEMPLE-BRYAN,2020-07-15,2020-07-15,2020-09-27,Original,2022-07-20
170,904,81,OK81,Franchise,2002-11-08,1999-12-31,OKLAHOMA CITY,OK,Oklahoma,Central,650.0,OKLAHOMA CITY,Active,1.0,Southwest,0.0,2002-11-08,Operational,DomesticFranchise,OKLAHOMA CITY,2019-11-13,2019-11-13,2020-09-27,Original,2002-11-08
171,906,83,CA83,Franchise,2002-12-03,1999-12-31,LONG BEACH,CA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,0.0,2002-12-03,Operational,DomesticFranchise,LOS ANGELES,2018-11-07,2018-11-07,2020-09-27,Original,2022-07-20
172,33,1724,OK1724,Franchise,2020-09-10,1999-12-31,OWASSO,OK,Oklahoma,Central,671.0,TULSA,Active,1.0,Southwest,0.0,2020-09-10,Operational,DomesticFranchise,TULSA,2020-09-10,2020-09-15,2020-09-27,Original,2022-07-20
173,38,1729,TX1729,Franchise,2020-05-22,1999-12-31,DALLAS,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2020-05-22,Operational,DomesticFranchise,DALLAS-FT. WORTH,2020-05-22,2020-05-22,2020-09-27,Original,2022-07-20
174,910,87,TX87,Corporate,2002-12-30,1999-12-31,ARLINGTON,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2002-12-30,Operational,DomesticCorporate,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
175,911,88,AZ88,Franchise,2002-12-30,1999-12-31,TUCSON,AZ,Arizona,Mountain (DST not observed),789.0,TUCSON (SIERRA VISTA),Active,1.0,Southwest,0.0,2002-12-30,Operational,DomesticFranchise,TUCSON (SIERRA VISTA),2019-02-27,2019-02-27,2020-09-27,Original,2022-07-20
176,913,90,TX90,Franchise,2003-01-13,1999-12-31,AMARILLO,TX,Texas,Central,634.0,AMARILLO,Active,1.0,Southwest,0.0,2003-01-13,Operational,DomesticFranchise,AMARILLO,2019-11-13,2019-11-13,2020-09-27,Original,2022-07-20
177,918,95,TX95,Franchise,2003-02-06,1999-12-31,GARLAND,TX,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,0.0,2003-02-06,Operational,DomesticFranchise,DALLAS-FT. WORTH,2019-04-17,2019-04-17,2020-09-27,Original,2022-07-20
178,49,1740,NC1740,Franchise,2020-08-06,1999-12-31,GOLDSBORO,NC,North Carolina,Eastern,560.0,RALEIGH-DURHAM (FAYETVLLE),Active,2.0,Southeast,0.0,2020-08-06,Operational,DomesticFranchise,RALEIGH-DURHAM (FAYETVLLE),2020-08-06,2020-08-06,2020-09-27,Original,2020-08-06
179,55,1746,CA1746,Franchise,2020-09-14,1999-12-31,RIVERSIDE,CA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,0.0,2020-09-14,Operational,DomesticFranchise,LOS ANGELES,2020-09-14,2020-09-14,2020-09-27,Original,2022-07-20
180,66,1757,NM1757,Franchise,2020-06-24,1999-12-31,ROSWELL,NM,New Mexico,Central,790.0,ALBUQUERQUE-SANTA FE,Active,1.0,Southwest,0.0,2020-06-24,Operational,DomesticFranchise,ALBUQUERQUE-SANTA FE,2020-06-24,2020-06-24,2020-09-27,Original,2020-06-24
181,940,117,NE117,Franchise,2003-08-28,1999-12-31,OMAHA,NE,Nebraska,Central,652.0,OMAHA,Active,1.0,Southwest,0.0,2003-08-28,Operational,DomesticFranchise,OMAHA,2019-11-13,2019-11-13,2020-09-27,Original,2003-08-28
